cpu_percent,memory_percent,latency_ms,error_count,request_rate,active_pods,predicted_load,service,service_type,action
49,70,165,5,947,6,63.89,pharmacy,non_critical,stable
94,45,211,4,1238,10,84.08,lab_report,non_critical,scale_down
50,59,216,5,418,4,65.14,analytics,non_critical,stable
40,56,66,9,576,7,44.55,pharmacy,non_critical,scale_up
82,79,223,0,1191,9,89.38,lab_report,non_critical,scale_down
90,14,239,0,1087,5,75.27,pharmacy,non_critical,scale_up
18,38,50,10,40,3,25.22,analytics,non_critical,scale_up
70,34,147,5,135,1,60.17,analytics,non_critical,stable
34,60,223,9,272,3,57.84,analytics,non_critical,scale_up
41,93,357,0,688,8,85.48,lab_report,non_critical,scale_down
60,46,24,8,79,3,46.36,analytics,non_critical,scale_up
93,38,282,8,519,9,87.14,pharmacy,non_critical,scale_up
18,21,207,2,394,4,36.79,emergency,critical,scale_up
10,36,74,6,36,7,52.79,pharmacy,non_critical,scale_down
59,42,322,5,546,5,75.39,lab_report,non_critical,scale_up
64,67,133,10,423,5,66.25,lab_report,non_critical,scale_up
76,73,259,7,432,10,86.66,lab_report,non_critical,scale_up
88,75,268,6,1531,2,59.26,patient_monitoring,critical,scale_up
93,93,347,2,1699,6,76.89,patient_monitoring,critical,scale_up
10,68,65,8,15,4,79.97,patient_monitoring,critical,scale_up
64,43,38,6,157,8,49.01,lab_report,non_critical,scale_down
7,17,65,9,39,7,73.13,analytics,non_critical,scale_up
2,95,183,3,1045,4,49.89,analytics,non_critical,stable
27,11,171,0,885,8,35.67,patient_monitoring,critical,scale_up
20,40,400,1,248,6,62.5,analytics,non_critical,scale_up
3,62,252,4,116,7,45.53,lab_report,non_critical,stable
36,91,299,5,886,4,76.97,lab_report,non_critical,stable
24,60,160,10,289,9,46.58,patient_monitoring,critical,scale_up
66,56,223,5,830,7,73.76,analytics,non_critical,stable
74,37,34,1,1462,9,54.42,patient_monitoring,critical,scale_up
84,34,232,7,860,4,77.12,patient_monitoring,critical,scale_up
71,68,382,7,46,7,94.19,patient_monitoring,critical,scale_up
94,30,380,1,1082,3,57.92,lab_report,non_critical,scale_up
8,50,217,3,516,1,41.73,lab_report,non_critical,stable
31,93,80,7,1391,5,54.18,patient_monitoring,critical,scale_up
87,47,101,10,840,6,69.38,patient_monitoring,critical,scale_up
32,63,292,7,1464,4,67.03,analytics,non_critical,scale_up
86,70,180,7,730,5,83.46,pharmacy,non_critical,scale_up
14,80,66,0,38,5,43.88,analytics,non_critical,scale_down
37,47,341,10,726,8,68.15,lab_report,non_critical,scale_up
95,87,171,10,246,5,91.19,patient_monitoring,critical,scale_up
100,63,115,10,473,2,81.35,emergency,critical,scale_up
6,46,256,2,1300,6,45.0,analytics,non_critical,stable
9,85,73,3,18,4,58.78,patient_monitoring,critical,scale_down
80,91,363,4,924,4,105.45,lab_report,non_critical,scale_up
7,10,55,7,41,2,37.88,emergency,critical,scale_up
89,89,182,9,347,10,90.09,emergency,critical,scale_up
52,12,386,0,1365,7,70.93,emergency,critical,scale_up
33,11,70,7,366,1,27.53,lab_report,non_critical,scale_up
48,21,103,3,937,5,42.47,analytics,non_critical,stable
95,19,126,3,226,10,66.25,emergency,critical,scale_up
88,18,204,1,1387,3,22.72,pharmacy,non_critical,scale_up
49,66,184,5,181,5,63.06,patient_monitoring,critical,stable
37,92,399,5,928,2,87.86,analytics,non_critical,scale_up
49,76,242,4,722,5,72.94,pharmacy,non_critical,stable
2,65,32,5,50,5,43.37,patient_monitoring,critical,scale_down
29,6,375,10,477,10,54.75,pharmacy,non_critical,scale_up
62,41,369,8,1076,6,82.35,analytics,non_critical,scale_up
8,13,111,1,1344,5,21.69,lab_report,non_critical,stable
19,27,156,10,539,7,34.28,emergency,critical,scale_up
85,14,359,8,1759,5,12.64,emergency,critical,scale_up
15,80,55,2,48,4,61.82,analytics,non_critical,scale_down
71,34,48,0,223,8,50.95,pharmacy,non_critical,scale_down
51,74,199,10,790,1,69.18,pharmacy,non_critical,scale_up
6,40,53,2,1252,6,22.8,emergency,critical,scale_up
93,62,226,4,1987,4,76.67,emergency,critical,scale_up
30,12,40,6,560,7,23.72,lab_report,non_critical,stable
89,32,227,8,239,2,77.28,pharmacy,non_critical,scale_up
75,9,387,2,991,8,80.88,emergency,critical,scale_up
19,20,60,7,1058,7,23.62,analytics,non_critical,scale_up
11,94,61,2,2,9,96.66,analytics,non_critical,scale_down
84,71,200,1,81,2,83.46,analytics,non_critical,stable
81,52,366,3,791,4,94.28,lab_report,non_critical,scale_up
94,81,336,1,1518,8,93.89,patient_monitoring,critical,scale_up
77,38,268,0,725,3,78.15,analytics,non_critical,stable
7,55,81,9,1187,3,30.47,patient_monitoring,critical,scale_up
29,95,328,9,1309,6,78.42,emergency,critical,scale_up
16,9,144,2,625,7,26.35,patient_monitoring,critical,stable
54,80,254,4,907,1,78.21,pharmacy,non_critical,stable
57,58,80,0,456,1,54.81,emergency,critical,stable
87,94,380,3,1234,10,73.7,pharmacy,non_critical,scale_down
89,68,361,5,1078,8,103.16,patient_monitoring,critical,scale_up
3,72,68,4,40,1,71.11,lab_report,non_critical,scale_down
40,59,245,0,754,8,63.71,emergency,critical,scale_up
16,92,253,6,117,10,61.13,lab_report,non_critical,scale_down
26,71,172,8,301,3,52.1,emergency,critical,scale_up
94,60,387,3,253,6,104.21,patient_monitoring,critical,scale_up
15,44,63,10,14,5,90.84,analytics,non_critical,scale_up
49,18,58,7,1109,6,37.92,pharmacy,non_critical,scale_up
41,23,86,6,1068,4,38.14,patient_monitoring,critical,scale_up
67,58,54,1,335,5,56.97,lab_report,non_critical,stable
93,45,243,7,1398,5,87.1,pharmacy,non_critical,scale_up
72,85,250,10,1261,8,89.02,patient_monitoring,critical,scale_up
38,58,222,4,1058,10,60.72,patient_monitoring,critical,scale_up
57,32,388,1,884,2,78.67,pharmacy,non_critical,scale_up
92,59,66,8,402,1,71.1,emergency,critical,scale_up
31,45,261,5,471,5,56.04,lab_report,non_critical,stable
14,23,75,10,28,3,32.44,emergency,critical,scale_up
16,37,94,4,396,8,29.29,analytics,non_critical,scale_down
81,47,334,6,326,6,88.65,emergency,critical,scale_up
74,9,86,8,761,1,49.82,pharmacy,non_critical,scale_up
4,38,32,3,5,2,67.65,lab_report,non_critical,scale_down
38,12,67,1,1366,3,32.03,pharmacy,non_critical,stable
84,67,112,6,629,9,74.56,emergency,critical,scale_up
3,10,279,1,253,4,32.91,analytics,non_critical,stable
86,69,188,5,410,4,83.32,pharmacy,non_critical,scale_up
86,15,279,8,699,10,76.8,emergency,critical,scale_up
31,56,120,1,1058,5,46.42,lab_report,non_critical,stable
70,11,154,6,375,1,54.45,patient_monitoring,critical,stable
64,21,246,9,505,6,63.91,patient_monitoring,critical,scale_up
30,82,204,3,1373,8,62.75,analytics,non_critical,scale_down
12,90,308,4,310,1,64.42,analytics,non_critical,scale_up
5,89,118,3,19,4,41.04,emergency,critical,scale_down
62,73,337,7,30,10,86.66,patient_monitoring,critical,scale_up
33,94,223,2,1161,4,69.32,patient_monitoring,critical,scale_up
39,6,164,9,796,8,39.29,pharmacy,non_critical,scale_up
14,35,151,1,253,9,33.11,lab_report,non_critical,scale_down
95,38,122,1,1135,5,73.37,emergency,critical,scale_up
99,18,224,0,1915,2,64.02,emergency,critical,scale_up
76,77,244,1,1090,10,87.68,patient_monitoring,critical,scale_up
39,63,384,9,1315,7,79.43,lab_report,non_critical,scale_up
1,14,373,4,948,7,43.9,analytics,non_critical,scale_up
89,66,390,6,1266,8,105.83,analytics,non_critical,scale_down
13,10,310,1,990,10,42.48,patient_monitoring,critical,scale_up
18,78,58,8,1088,8,40.38,analytics,non_critical,scale_up
48,95,299,9,1369,6,85.14,emergency,critical,scale_up
79,13,251,0,78,1,68.66,lab_report,non_critical,stable
63,68,328,3,1449,3,87.6,lab_report,non_critical,scale_up
55,39,160,6,1113,5,57.43,emergency,critical,scale_up
20,78,224,5,1150,3,58.1,patient_monitoring,critical,scale_up
42,38,244,6,1335,10,59.47,patient_monitoring,critical,scale_up
66,26,121,0,514,10,53.93,pharmacy,non_critical,scale_down
82,63,281,3,371,2,88.74,pharmacy,non_critical,stable
60,28,389,5,1422,9,80.14,emergency,critical,scale_up
98,46,140,4,454,2,77.71,pharmacy,non_critical,scale_up
64,25,127,9,488,8,53.18,patient_monitoring,critical,scale_up
65,86,58,5,88,4,64.28,pharmacy,non_critical,stable
7,85,88,3,30,8,37.86,pharmacy,non_critical,scale_down
2,79,203,6,1115,7,47.23,emergency,critical,scale_up
9,7,109,3,139,1,17.78,pharmacy,non_critical,stable
69,31,275,0,1036,7,73.37,lab_report,non_critical,stable
43,72,315,6,1164,9,76.93,patient_monitoring,critical,scale_up
40,83,192,3,1336,9,66.77,pharmacy,non_critical,scale_down
43,89,324,7,1020,1,82.64,lab_report,non_critical,scale_up
83,47,185,0,1400,10,76.9,lab_report,non_critical,scale_down
55,64,35,5,937,8,52.07,analytics,non_critical,scale_down
7,10,54,0,10,4,37.86,pharmacy,non_critical,scale_down
97,30,377,9,1065,10,97.33,pharmacy,non_critical,scale_up
26,86,39,6,752,6,44.2,emergency,critical,stable
100,54,48,8,1225,4,73.45,emergency,critical,scale_up
98,64,401,6,1274,10,56.0,patient_monitoring,critical,scale_up
31,73,148,5,919,9,54.04,patient_monitoring,critical,scale_up
86,26,394,8,766,2,91.73,lab_report,non_critical,scale_up
67,87,398,5,122,7,99.64,analytics,non_critical,scale_up
5,70,360,3,1454,8,62.41,lab_report,non_critical,scale_down
98,87,239,4,1031,9,101.06,emergency,critical,scale_up
15,48,354,2,1041,2,59.38,lab_report,non_critical,scale_up
89,85,487,1,1835,6,87.95,lab_report,non_critical,scale_up
40,91,379,4,982,9,87.16,emergency,critical,scale_up
54,60,122,6,31,3,57.26,patient_monitoring,critical,stable
86,84,170,3,1238,2,87.68,analytics,non_critical,scale_up
47,38,361,6,1407,7,73.81,pharmacy,non_critical,scale_up
68,20,168,1,721,9,58.24,lab_report,non_critical,scale_down
20,58,60,8,47,1,75.44,emergency,critical,scale_up
73,82,332,5,258,4,94.82,pharmacy,non_critical,scale_up
93,46,342,0,1315,8,75.45,pharmacy,non_critical,scale_down
59,70,262,5,145,1,76.99,patient_monitoring,critical,scale_up
17,50,83,6,581,6,32.96,patient_monitoring,critical,stable
2,16,232,1,570,10,30.14,analytics,non_critical,scale_down
10,77,376,3,538,7,66.78,analytics,non_critical,scale_up
14,84,242,9,1236,5,58.87,pharmacy,non_critical,scale_up
63,5,118,1,94,2,44.99,patient_monitoring,critical,stable
60,36,155,5,871,8,58.04,emergency,critical,scale_up
73,60,304,2,69,4,85.04,lab_report,non_critical,scale_up
13,46,300,1,750,7,51.8,emergency,critical,scale_up
63,95,178,2,993,8,79.79,lab_report,non_critical,scale_down
21,68,220,2,1141,1,55.18,emergency,critical,scale_up
4,39,283,9,73,3,42.15,pharmacy,non_critical,scale_up
13,94,242,1,1093,4,61.09,pharmacy,non_critical,stable
85,63,419,10,1283,9,65.36,pharmacy,non_critical,scale_up
50,33,122,6,398,2,47.9,analytics,non_critical,stable
18,51,397,9,1451,6,66.9,lab_report,non_critical,scale_up
86,86,346,4,220,3,103.84,analytics,non_critical,scale_up
15,18,23,6,2,8,75.07,lab_report,non_critical,scale_down
92,72,49,1,314,4,73.13,pharmacy,non_critical,scale_up
24,78,364,6,741,8,73.28,analytics,non_critical,scale_down
15,73,221,1,1093,10,53.69,analytics,non_critical,scale_down
64,13,86,9,1243,5,46.99,patient_monitoring,critical,scale_up
94,24,497,2,1853,6,75.43,emergency,critical,scale_up
19,44,225,7,327,6,45.85,emergency,critical,scale_up
32,6,275,5,1418,9,48.14,emergency,critical,scale_up
80,78,69,5,17,5,70.33,pharmacy,non_critical,stable
91,54,225,6,1460,9,87.12,analytics,non_critical,scale_down
10,86,107,7,399,10,42.3,emergency,critical,scale_up
37,61,292,4,1152,8,68.3,analytics,non_critical,scale_down
2,6,40,5,19,3,54.06,analytics,non_critical,scale_down
70,55,185,1,1077,10,72.15,emergency,critical,scale_up
40,70,287,9,603,10,70.91,patient_monitoring,critical,scale_up
77,7,56,0,669,9,47.54,pharmacy,non_critical,scale_down
71,50,337,6,1326,4,86.85,lab_report,non_critical,scale_up
75,55,278,3,687,8,83.17,pharmacy,non_critical,scale_down
35,60,124,10,1051,7,50.0,analytics,non_critical,scale_up
10,18,378,4,1017,1,50.23,emergency,critical,scale_up
5,84,395,0,319,10,67.84,lab_report,non_critical,scale_down
6,63,121,1,242,10,34.48,analytics,non_critical,scale_down
34,57,217,7,629,8,57.06,analytics,non_critical,scale_up
34,77,326,9,585,3,73.87,emergency,critical,scale_up
73,59,98,4,726,4,65.45,pharmacy,non_critical,stable
81,31,349,5,1456,9,87.61,emergency,critical,scale_up
99,69,387,10,1184,9,62.88,analytics,non_critical,scale_up
38,61,123,8,672,3,50.94,pharmacy,non_critical,scale_up
42,48,143,6,1274,7,52.25,lab_report,non_critical,stable
74,23,73,7,919,4,53.04,emergency,critical,scale_up
67,58,246,7,1348,4,78.2,patient_monitoring,critical,scale_up
17,16,55,3,273,4,19.35,patient_monitoring,critical,stable
98,38,244,2,1970,1,35.16,pharmacy,non_critical,scale_up
19,40,178,0,1461,7,42.22,pharmacy,non_critical,stable
17,5,108,0,662,5,22.12,lab_report,non_critical,stable
37,56,297,3,1490,4,67.98,lab_report,non_critical,stable
75,56,195,8,239,5,74.28,emergency,critical,scale_up
55,60,209,1,695,7,67.79,patient_monitoring,critical,scale_up
44,82,191,7,1340,10,68.38,analytics,non_critical,scale_up
15,27,290,9,1100,6,46.8,patient_monitoring,critical,scale_up
50,9,183,2,33,2,46.07,patient_monitoring,critical,stable
65,57,313,3,700,10,82.3,pharmacy,non_critical,scale_down
72,65,319,0,834,7,89.07,analytics,non_critical,scale_up
97,71,472,5,1243,1,78.93,lab_report,non_critical,scale_up
42,53,215,10,609,1,59.62,patient_monitoring,critical,scale_up
82,83,318,5,623,8,98.95,patient_monitoring,critical,scale_up
73,22,213,4,1000,9,66.4,patient_monitoring,critical,scale_up
81,76,120,6,1090,10,77.48,emergency,critical,scale_up
55,93,262,10,717,3,83.03,pharmacy,non_critical,scale_up
56,51,233,0,1116,4,68.83,lab_report,non_critical,stable
97,84,339,3,138,5,107.88,emergency,critical,scale_up
66,38,296,2,1411,2,76.82,lab_report,non_critical,stable
88,35,409,3,1471,7,29.52,pharmacy,non_critical,scale_up
2,47,329,9,300,8,48.6,emergency,critical,scale_up
5,80,31,3,5,1,67.17,emergency,critical,scale_down
55,72,360,4,101,10,85.3,emergency,critical,scale_up
2,40,140,2,1204,4,29.41,lab_report,non_critical,stable
18,40,47,0,8,5,53.3,lab_report,non_critical,scale_down
35,46,222,5,246,3,53.99,lab_report,non_critical,stable
47,18,291,8,1170,1,60.34,pharmacy,non_critical,scale_up
34,14,321,0,1412,5,56.12,lab_report,non_critical,scale_up
34,58,34,7,1434,10,40.67,pharmacy,non_critical,scale_up
82,8,28,2,357,5,46.91,pharmacy,non_critical,stable
2,32,27,7,32,4,27.3,lab_report,non_critical,scale_up
1,15,21,3,33,5,69.32,patient_monitoring,critical,scale_down
98,10,355,8,1026,2,89.55,emergency,critical,scale_up
6,23,49,5,20,4,47.48,lab_report,non_critical,scale_down
26,21,48,6,1430,5,26.96,emergency,critical,scale_up
8,52,40,10,305,8,24.21,patient_monitoring,critical,scale_up
46,82,263,10,129,2,74.16,pharmacy,non_critical,scale_up
31,38,160,2,1227,9,45.35,emergency,critical,scale_up
20,64,69,2,37,9,66.72,emergency,critical,scale_down
2,70,241,3,731,1,47.56,analytics,non_critical,stable
9,47,56,8,50,1,51.64,patient_monitoring,critical,scale_up
46,91,161,4,820,9,68.04,patient_monitoring,critical,scale_up
90,40,391,1,1250,2,98.6,pharmacy,non_critical,scale_up
52,34,281,10,93,5,64.49,analytics,non_critical,scale_up
1,20,46,9,17,10,50.72,lab_report,non_critical,scale_up
66,71,259,9,417,5,81.03,pharmacy,non_critical,scale_up
63,12,348,2,749,6,71.4,emergency,critical,scale_up
92,79,276,5,1384,2,85.85,analytics,non_critical,scale_up
100,42,359,2,1353,9,101.21,patient_monitoring,critical,scale_up
93,82,386,7,1263,1,30.05,lab_report,non_critical,scale_up
65,81,142,3,699,6,72.4,analytics,non_critical,stable
66,5,310,5,1185,6,67.87,pharmacy,non_critical,scale_up
6,84,75,0,7,7,98.84,lab_report,non_critical,scale_down
35,38,340,2,1060,1,65.02,analytics,non_critical,scale_up
34,8,175,9,1175,5,39.25,lab_report,non_critical,scale_up
11,20,120,6,175,6,23.85,analytics,non_critical,stable
34,75,384,6,495,5,78.89,analytics,non_critical,scale_up
19,58,40,6,4,7,45.67,pharmacy,non_critical,scale_down
2,70,281,2,1158,9,52.42,lab_report,non_critical,scale_down
98,48,382,10,1880,1,79.41,lab_report,non_critical,scale_up
5,88,52,10,50,2,109.65,patient_monitoring,critical,scale_up
7,52,84,2,212,10,27.92,lab_report,non_critical,scale_down
42,56,189,8,941,7,58.58,emergency,critical,scale_up
64,46,281,10,1151,1,76.2,analytics,non_critical,scale_up
80,82,372,3,1257,4,104.31,patient_monitoring,critical,scale_up
95,47,131,6,537,10,75.77,analytics,non_critical,scale_down
12,51,346,8,57,8,56.01,lab_report,non_critical,scale_up
17,54,87,6,361,1,34.12,emergency,critical,stable
16,94,257,1,1104,6,64.11,pharmacy,non_critical,stable
94,53,295,3,1313,2,69.95,emergency,critical,scale_up
79,34,116,2,1220,9,63.74,analytics,non_critical,scale_down
65,91,106,0,478,8,71.36,emergency,critical,stable
3,78,311,9,1427,4,58.85,lab_report,non_critical,scale_up
94,49,32,9,439,10,65.78,lab_report,non_critical,scale_up
96,85,258,4,1804,7,76.36,lab_report,non_critical,scale_up
5,7,72,7,1,7,58.59,lab_report,non_critical,scale_up
84,27,180,8,641,1,69.38,analytics,non_critical,scale_up
98,44,268,9,1019,5,91.04,pharmacy,non_critical,scale_up
3,28,63,1,47,5,41.72,emergency,critical,scale_down
5,70,75,1,25,9,94.59,pharmacy,non_critical,scale_down
92,45,349,2,1178,6,96.76,pharmacy,non_critical,scale_up
99,39,132,0,1011,10,76.42,emergency,critical,scale_up
48,15,260,3,281,3,55.06,analytics,non_critical,stable
98,60,138,7,598,6,82.0,patient_monitoring,critical,scale_up
46,9,329,5,1229,10,61.06,analytics,non_critical,scale_down
1,94,332,5,1042,8,63.98,analytics,non_critical,scale_down
41,32,45,3,1032,5,36.66,lab_report,non_critical,stable
50,63,283,6,1219,5,74.64,patient_monitoring,critical,scale_up
43,95,33,10,91,1,53.48,emergency,critical,scale_up
78,66,267,2,886,1,87.27,pharmacy,non_critical,stable
37,80,142,6,1315,2,59.33,pharmacy,non_critical,stable
6,37,135,5,943,1,29.49,pharmacy,non_critical,stable
88,55,293,0,1332,7,92.46,analytics,non_critical,scale_up
83,68,309,7,1031,6,94.86,pharmacy,non_critical,scale_up
60,87,38,1,1467,9,62.83,patient_monitoring,critical,scale_up
1,16,48,6,510,2,11.12,emergency,critical,stable
48,95,198,6,655,9,73.61,patient_monitoring,critical,stable
23,74,266,1,359,6,61.02,patient_monitoring,critical,scale_up
13,24,358,6,810,6,51.12,analytics,non_critical,scale_up
23,33,245,4,1277,10,48.45,patient_monitoring,critical,scale_up
48,50,48,10,1068,5,45.94,analytics,non_critical,scale_up
43,29,252,7,449,10,56.3,emergency,critical,scale_up
12,30,23,2,44,10,81.22,lab_report,non_critical,scale_down
6,57,224,5,1026,3,44.55,emergency,critical,scale_up
89,91,323,5,771,9,105.64,pharmacy,non_critical,scale_down
90,33,259,6,1483,8,66.83,pharmacy,non_critical,scale_down
14,65,62,3,6,9,84.91,patient_monitoring,critical,scale_down
91,78,393,6,256,9,108.71,emergency,critical,scale_up
11,21,81,7,795,8,21.49,analytics,non_critical,scale_up
67,51,48,1,504,2,54.61,analytics,non_critical,stable
66,30,272,3,517,6,70.23,analytics,non_critical,stable
38,7,28,4,347,5,24.59,patient_monitoring,critical,stable
28,52,264,4,709,1,57.42,emergency,critical,scale_up
52,56,100,6,1395,2,55.59,emergency,critical,scale_up
9,57,40,2,50,9,63.04,lab_report,non_critical,scale_down
40,9,196,10,1113,9,44.53,analytics,non_critical,scale_up
54,44,56,6,1157,4,48.11,lab_report,non_critical,stable
27,33,130,10,945,3,38.29,analytics,non_critical,scale_up
15,49,43,0,534,9,27.57,patient_monitoring,critical,stable
11,80,70,1,28,6,66.17,patient_monitoring,critical,scale_down
58,76,386,1,827,6,92.05,pharmacy,non_critical,scale_up
2,26,342,4,163,8,43.33,patient_monitoring,critical,scale_up
96,73,275,5,1365,8,85.0,emergency,critical,scale_up
17,29,97,0,147,8,27.19,lab_report,non_critical,scale_down
10,52,24,2,20,7,40.89,patient_monitoring,critical,scale_down
47,40,55,4,1182,9,43.36,emergency,critical,scale_up
67,16,385,3,1349,1,79.5,emergency,critical,scale_up
85,61,442,1,1459,6,87.88,analytics,non_critical,scale_up
45,79,61,7,806,7,53.91,pharmacy,non_critical,scale_up
20,20,141,10,1127,3,32.35,lab_report,non_critical,scale_up
33,23,263,7,676,3,51.05,emergency,critical,scale_up
93,85,170,9,455,3,89.91,analytics,non_critical,scale_up
80,20,73,4,114,5,53.53,analytics,non_critical,stable
29,19,192,1,1418,7,42.24,analytics,non_critical,stable
93,21,124,1,601,9,66.4,pharmacy,non_critical,scale_down
78,54,120,7,650,10,68.5,patient_monitoring,critical,scale_up
54,30,393,10,1389,10,78.08,lab_report,non_critical,scale_up
75,84,317,3,307,10,95.01,patient_monitoring,critical,scale_up
28,12,158,1,740,8,34.88,emergency,critical,stable
69,27,324,3,597,6,76.19,pharmacy,non_critical,scale_up
79,73,46,1,199,8,66.4,emergency,critical,scale_up
46,38,183,1,1392,6,55.48,lab_report,non_critical,stable
30,92,134,9,911,3,57.82,pharmacy,non_critical,scale_up
44,80,84,2,558,4,55.52,analytics,non_critical,stable
55,64,223,1,55,8,69.11,lab_report,non_critical,scale_down
99,62,77,1,1391,1,78.58,lab_report,non_critical,scale_up
58,27,117,2,224,7,49.25,lab_report,non_critical,stable
87,85,434,10,1733,5,77.81,lab_report,non_critical,scale_up
65,66,71,10,897,4,61.19,analytics,non_critical,scale_up
47,56,217,5,1377,9,64.75,analytics,non_critical,scale_down
85,75,274,8,1454,5,92.01,lab_report,non_critical,scale_up
87,23,355,4,1407,2,53.43,pharmacy,non_critical,scale_up
67,84,311,7,937,8,91.67,analytics,non_critical,scale_up
99,73,78,4,545,6,80.29,lab_report,non_critical,scale_up
34,10,165,4,1475,3,39.45,patient_monitoring,critical,scale_up
47,70,155,3,1320,9,62.64,pharmacy,non_critical,scale_down
2,46,60,1,13,8,47.87,patient_monitoring,critical,scale_down
59,74,284,8,156,3,80.41,lab_report,non_critical,scale_up
47,29,27,0,528,8,35.96,pharmacy,non_critical,scale_down
92,31,145,7,169,10,70.14,analytics,non_critical,scale_up
94,15,364,2,825,4,89.55,lab_report,non_critical,scale_up
57,68,110,7,1493,4,62.89,emergency,critical,scale_up
14,61,135,9,653,2,40.11,emergency,critical,scale_up
36,58,47,8,1422,8,42.94,emergency,critical,scale_up
30,80,263,5,1088,8,67.48,lab_report,non_critical,scale_down
80,82,94,8,954,10,75.91,pharmacy,non_critical,scale_up
7,18,314,3,47,8,40.39,lab_report,non_critical,scale_down
74,20,76,1,962,5,52.52,patient_monitoring,critical,scale_up
22,42,283,2,971,1,53.84,lab_report,non_critical,stable
53,23,287,5,1237,1,64.57,patient_monitoring,critical,scale_up
30,82,158,7,939,2,57.28,patient_monitoring,critical,scale_up
53,21,84,1,796,5,42.79,emergency,critical,stable
4,74,35,6,25,2,108.92,pharmacy,non_critical,scale_down
86,89,330,0,1427,5,105.55,patient_monitoring,critical,scale_up
7,52,323,0,1250,9,53.9,pharmacy,non_critical,scale_down
94,81,71,0,676,6,79.75,analytics,non_critical,scale_up
72,16,277,0,951,10,70.4,pharmacy,non_critical,scale_down
69,43,343,3,980,2,83.66,patient_monitoring,critical,scale_up
24,12,358,7,303,10,52.01,pharmacy,non_critical,scale_up
34,57,50,1,1088,3,41.28,lab_report,non_critical,stable
26,78,246,5,784,3,62.57,lab_report,non_critical,stable
81,22,99,3,629,9,58.26,emergency,critical,scale_up
83,87,359,4,1138,2,105.78,pharmacy,non_critical,scale_up
33,57,194,8,824,10,54.65,pharmacy,non_critical,scale_up
42,56,338,9,1088,10,73.78,analytics,non_critical,scale_up
17,47,98,3,958,8,34.32,patient_monitoring,critical,scale_up
55,5,148,8,1433,2,46.67,patient_monitoring,critical,scale_up
7,87,205,4,306,6,50.71,lab_report,non_critical,stable
34,22,332,1,497,10,57.79,lab_report,non_critical,scale_down
85,21,209,4,315,3,70.33,lab_report,non_critical,stable
100,37,317,0,1213,1,95.23,lab_report,non_critical,scale_up
25,20,195,3,253,6,38.51,pharmacy,non_critical,stable
59,76,242,6,584,1,77.67,patient_monitoring,critical,scale_up
92,94,191,9,702,8,94.7,patient_monitoring,critical,scale_up
18,67,23,2,40,4,61.53,pharmacy,non_critical,scale_down
19,27,93,1,327,4,27.55,pharmacy,non_critical,stable
17,89,189,0,1483,7,57.07,pharmacy,non_critical,stable
19,60,230,4,643,6,51.79,analytics,non_critical,stable
90,19,42,3,320,2,55.54,emergency,critical,scale_up
14,81,83,7,1295,1,42.19,patient_monitoring,critical,scale_up
27,14,353,1,1446,1,55.89,pharmacy,non_critical,scale_up
72,33,381,0,710,9,85.42,lab_report,non_critical,scale_down
58,92,170,1,15,1,73.63,lab_report,non_critical,stable
96,14,267,1,707,10,80.31,lab_report,non_critical,scale_down
66,35,375,3,1492,2,83.98,patient_monitoring,critical,scale_up
17,26,355,7,1238,3,54.28,patient_monitoring,critical,scale_up
58,26,266,10,49,1,63.5,pharmacy,non_critical,scale_up
89,62,200,5,237,4,83.57,analytics,non_critical,scale_up
93,65,182,6,50,1,84.3,analytics,non_critical,scale_up
1,58,57,6,159,7,23.92,lab_report,non_critical,stable
44,90,292,0,1408,1,81.02,emergency,critical,scale_up
96,77,366,8,1310,4,110.32,pharmacy,non_critical,scale_up
6,8,34,1,36,2,64.52,lab_report,non_critical,scale_down
11,67,76,0,264,8,33.73,lab_report,non_critical,scale_down
15,47,29,2,1267,3,27.03,patient_monitoring,critical,scale_up
13,6,219,3,463,6,31.13,analytics,non_critical,stable
38,17,41,0,492,6,29.18,lab_report,non_critical,stable
87,93,192,2,242,6,91.08,pharmacy,non_critical,scale_up
56,42,110,9,270,2,52.14,pharmacy,non_critical,scale_up
65,12,210,6,146,9,57.39,pharmacy,non_critical,scale_down
81,46,275,6,320,1,82.44,patient_monitoring,critical,scale_up
43,84,69,0,154,5,53.91,pharmacy,non_critical,stable
13,62,39,7,19,7,77.18,patient_monitoring,critical,scale_up
11,42,258,3,795,3,45.49,patient_monitoring,critical,scale_up
1,58,318,7,266,4,50.23,patient_monitoring,critical,scale_up
20,46,302,6,1185,10,56.37,lab_report,non_critical,scale_down
96,30,364,9,1017,2,69.41,pharmacy,non_critical,scale_up
44,56,238,0,1154,7,64.91,emergency,critical,scale_up
46,25,226,2,932,9,54.96,emergency,critical,scale_up
86,62,264,9,374,2,88.75,pharmacy,non_critical,scale_up
75,86,104,6,951,1,75.6,patient_monitoring,critical,scale_up
91,39,57,5,173,10,63.25,analytics,non_critical,scale_down
28,52,20,3,1426,2,34.45,patient_monitoring,critical,scale_up
35,15,182,9,425,8,41.05,analytics,non_critical,scale_up
19,8,54,4,711,8,18.72,lab_report,non_critical,scale_down
18,28,61,8,922,6,25.34,pharmacy,non_critical,scale_up
12,48,185,0,1388,7,41.68,analytics,non_critical,stable
33,8,46,3,690,6,24.88,analytics,non_critical,stable
19,41,197,0,468,9,42.44,lab_report,non_critical,scale_down
